"seed","N","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
12,30,"maximin",1,0.6875,0.781735959970572,3.56035703673086,1.3497839784586
12,30,"dopt",0.823529411764706,0.875,0.78600120126252,3.1956200272542,1.05884551542532
12,40,"random",0.909090909090909,0.625,0.682242292337953,2.73865019142038,0.615021336809573
12,40,"maximin",0.8125,0.8125,0.7375,2.98148942499047,0.510163569108743
12,40,"dopt",0.888888888888889,1,0.918936583472681,3.22961254102641,0.920665761949967
12,60,"random",0.9375,0.9375,0.9125,2.73179308905503,0.623182636895356
12,60,"maximin",0.888888888888889,1,0.918936583472681,2.77763199990138,0.494492134759917
12,60,"dopt",0.842105263157895,1,0.882579950158088,3.06735115766381,0.828349154516001
13,12,"random",0.5,0.125,0.131558702896054,3.402514817997,0.632066997376772
13,12,"maximin",0,0,0,3.85936621169228,0.302132811671902
13,12,"dopt",0.571428571428571,0.25,0.239045721866879,3.81627897681112,0.781380782372697
13,16,"random",1,0.375,0.547722557505166,3.63051867712313,1.08726979123922
13,16,"maximin",0.666666666666667,0.375,0.369012483211554,3.83179887359697,1.27153290042665
13,16,"dopt",0.833333333333333,0.625,0.633054164947657,3.45397733227823,0.650807743363747
13,20,"random",0.875,0.4375,0.53253521010352,2.90194440881469,0.57086692448633
13,20,"maximin",0.833333333333333,0.625,0.633054164947657,2.36320105652243,0.364286545982403
13,20,"dopt",0.875,0.875,0.825,2.51232659567563,0.442340129757327
13,30,"random",0.857142857142857,0.75,0.730296743340222,2.57262328636058,0.3372210005669
13,30,"maximin",0.842105263157895,1,0.882579950158088,2.91627355969941,0.943058925818047
13,30,"dopt",0.823529411764706,0.875,0.78600120126252,2.81685299996728,0.267222152546645
13,40,"random",0.928571428571429,0.8125,0.821583836257749,2.56298832582618,0.443884806827664
13,40,"maximin",0.7,0.875,0.683536555146996,2.56332946111393,0.50224112864578
13,40,"dopt",0.941176470588235,1,0.957938964038696,2.54797931016758,0.40830161474959
13,60,"random",0.9375,0.9375,0.9125,2.93021411681487,0.62024193669775
13,60,"maximin",0.842105263157895,1,0.882579950158088,2.60363861706851,0.478649693264595
13,60,"dopt",0.941176470588235,1,0.957938964038696,2.5067966710842,0.367092731149671
14,12,"random",1,0.0625,0.21320071635561,3.17629232175991,0.56206156072743
14,12,"maximin",0.8,0.5,0.53079104215763,4.83592234807534,0.941017781260977
14,12,"dopt",0.6,0.5625,0.420800630621803,2.74591610198992,0.811378208502831
14,16,"random",0.666666666666667,0.5,0.440385506050544,3.53859179891257,1.23383030942812
14,16,"maximin",0.916666666666667,0.6875,0.729388494396214,3.2050386203257,1.20564741901406
14,16,"dopt",1,0.4375,0.597614304667197,2.41707795659151,0.550257829676989
14,20,"random",0.857142857142857,0.375,0.478091443733757,2.82892064583569,0.498843237024457
14,20,"maximin",0.9375,0.9375,0.9125,2.35388723488276,0.364582582788096
14,20,"dopt",0.866666666666667,0.8125,0.777843589937273,2.44402458445534,0.536713156972137
14,30,"random",0.785714285714286,0.6875,0.639009650422694,2.72774031278983,0.919186270541367
14,30,"maximin",0.842105263157895,1,0.882579950158088,2.72616089007023,0.796023934857621
14,30,"dopt",0.8125,0.8125,0.7375,2.38677593048168,0.463955079224145
14,40,"random",0.777777777777778,0.875,0.749658791780345,2.69423644782237,1.04594731016255
14,40,"maximin",0.823529411764706,0.875,0.78600120126252,2.39069060931133,0.636595944743147
14,40,"dopt",0.888888888888889,1,0.918936583472681,2.31219893244864,0.43541051221315
14,60,"random",1,1,1,2.23954294566383,0.496425102060367
14,60,"maximin",0.842105263157895,1,0.882579950158088,2.48529322197108,0.634116281548341
14,60,"dopt",0.941176470588235,1,0.957938964038696,2.25609691263864,0.374230658308301
15,12,"random",0.75,0.1875,0.285043856274785,3.01658303327309,1.14402800035942
15,12,"maximin",1,0.4375,0.597614304667197,3.65995538056824,1.73318504303653
15,12,"dopt",0.5,0.1875,0.16431676725155,4.02482475183581,2.54701274107248
15,16,"random",0.75,0.375,0.419573195839137,2.78546791590565,0.459280990991552
15,16,"maximin",0.615384615384615,0.5,0.401250282129204,2.61234968222006,0.582130671571719
15,16,"dopt",1,0.875,0.912870929175277,2.9877756761788,1.12856994839776
15,20,"random",0.9,0.5625,0.634000411466058,2.67016584884177,0.935432880971033
15,20,"maximin",0.8,0.75,0.688582850108405,2.99506853146265,0.957340529639035
15,20,"dopt",0.7,0.875,0.683536555146996,3.02041635909927,1.20171300851807
15,30,"random",0.928571428571429,0.8125,0.821583836257749,2.92474257543229,0.54787970661639
15,30,"maximin",0.789473684210526,0.9375,0.799092657575566,2.9172223106175,1.32376928245211
15,30,"dopt",0.761904761904762,1,0.816496580927726,2.68247279812859,0.857842366222082
15,40,"random",0.8,0.75,0.688582850108405,2.93166052088283,0.926979332519084
15,40,"maximin",0.941176470588235,1,0.957938964038696,2.50246230456759,0.436287475343874
15,40,"dopt",0.842105263157895,1,0.882579950158088,2.53962512633567,0.714560550596228
15,60,"random",0.875,0.875,0.825,2.40912877009988,0.687027031913906
15,60,"maximin",0.88235294117647,0.9375,0.871970082650608,2.41204405299711,0.403895970124708
15,60,"dopt",0.888888888888889,1,0.918936583472681,2.4401334376451,0.30584698930802
16,12,"random",0.857142857142857,0.375,0.478091443733757,4.10269005333303,1.18053569851916
16,12,"maximin",0.583333333333333,0.4375,0.344051176601988,3.94746757779482,1.71329391338957
16,12,"dopt",1,0.1875,0.376177396931639,3.04528243341104,0.260303777540664
16,16,"random",0.666666666666667,0.25,0.292118697336089,3.98087391408535,1.29361633648137
16,16,"maximin",0.625,0.625,0.475,3.26806275953388,1.2769919564069
16,16,"dopt",0.857142857142857,0.375,0.478091443733757,3.0286025107052,0.3304552259768
16,20,"random",0.571428571428571,0.25,0.239045721866879,3.13827770626508,0.624692942330289
16,20,"maximin",0.857142857142857,0.75,0.730296743340222,3.08066067314106,0.585283598613073
16,20,"dopt",0.866666666666667,0.8125,0.777843589937273,2.83358827939121,0.653620518550687
16,30,"random",0.923076923076923,0.75,0.775750545449794,2.77111509968398,0.927573051226865
16,30,"maximin",0.88235294117647,0.9375,0.871970082650608,2.49487248113158,0.451857924217181
16,30,"dopt",0.9375,0.9375,0.9125,2.42611656825489,0.385795693176899
16,40,"random",1,0.8125,0.869375611279942,2.74716014547368,0.807109922142239
16,40,"maximin",0.88235294117647,0.9375,0.871970082650608,2.82547670559243,0.747582067374425
16,40,"dopt",0.941176470588235,1,0.957938964038696,2.53645787869293,0.475937790507013
16,60,"random",0.761904761904762,1,0.816496580927726,2.65975984536125,0.775943589694692
16,60,"maximin",0.941176470588235,1,0.957938964038696,2.62434057771616,0.423886213933645
16,60,"dopt",0.888888888888889,1,0.918936583472681,2.46864360101217,0.205945375399331
17,12,"random",0.5,0.0625,0.0912870929175277,4.68058663000134,0.981341347884978
17,12,"maximin",0.666666666666667,0.125,0.200627945030208,3.2559070590283,0.333105703968094
17,12,"dopt",0.6,0.1875,0.217832459454868,3.21841121050879,0.599739550656765
17,16,"random",1,0.0625,0.21320071635561,2.53790517784424,0.26225088772653
17,16,"maximin",0.888888888888889,0.5,0.58426976508496,3.30472691080389,0.962293710838507
17,16,"dopt",0.6,0.375,0.324372303540774,3.13905850248189,0.575826211262108
17,20,"random",0.75,0.375,0.419573195839137,2.96491108720595,0.675138928233164
17,20,"maximin",0.888888888888889,0.5,0.58426976508496,2.60413805896445,0.433852138795899
17,20,"dopt",1,0.5,0.645497224367903,2.51706907589915,0.559934730004097
17,30,"random",0.733333333333333,0.6875,0.599322110279538,3.14829245210829,0.992827474019811
17,30,"maximin",0.941176470588235,1,0.957938964038696,2.82076771339527,0.62667366880211
17,30,"dopt",0.789473684210526,0.9375,0.799092657575566,2.33861163125471,0.335880914315485
17,40,"random",1,0.8125,0.869375611279942,2.52657266458574,0.577952446475277
17,40,"maximin",0.88235294117647,0.9375,0.871970082650608,2.57269060590134,0.441391593024106
17,40,"dopt",0.833333333333333,0.9375,0.834297687626513,2.69980277886159,0.6830377066118
17,60,"random",0.761904761904762,1,0.816496580927726,2.50599774528093,0.411860420051006
17,60,"maximin",0.8,1,0.848528137423857,2.45585976559428,0.49825586990305
17,60,"dopt",0.842105263157895,1,0.882579950158088,2.49585199018199,0.3323989043747
18,12,"random",0.5,0.25,0.193649167310371,4.09945500791893,1.49937184200203
18,12,"maximin",0.7,0.4375,0.427581672849202,3.04536263640262,0.55291816165005
18,12,"dopt",0.833333333333333,0.3125,0.419920627420627,3.05280808960332,1.40300691134695
18,16,"random",0.692307692307692,0.5625,0.494875347959351,3.06588090725955,0.945228209553961
18,16,"maximin",0.666666666666667,0.375,0.369012483211554,2.64812466974645,0.919756927409473
18,16,"dopt",0.75,0.75,0.65,2.66464304256451,0.77424993704816
18,20,"random",0.75,0.375,0.419573195839137,3.23755990328509,0.747955070475973
18,20,"maximin",0.68421052631579,0.8125,0.632118072410522,2.82216180448569,1.09820184328891
18,20,"dopt",1,0.8125,0.869375611279942,2.96417158979145,0.852907249834155
18,30,"random",1,0.625,0.737209780774486,2.1667493824941,0.632548156721312
18,30,"maximin",0.941176470588235,1,0.957938964038696,2.65301896031551,0.772124234210844
18,30,"dopt",0.842105263157895,1,0.882579950158088,2.93796535957643,0.903467440772934
18,40,"random",0.875,0.875,0.825,2.34506854360102,0.5764281075644
18,40,"maximin",0.888888888888889,1,0.918936583472681,2.66960981985862,0.822405921842888
18,40,"dopt",0.842105263157895,1,0.882579950158088,2.45047501976891,0.737081292001795
18,60,"random",0.8,1,0.848528137423857,2.39615178456013,0.52208736327369
18,60,"maximin",0.8,1,0.848528137423857,2.40589247722746,0.428109950185474
18,60,"dopt",0.888888888888889,1,0.918936583472681,2.33319631579814,0.276868338300226
19,12,"random",0.666666666666667,0.125,0.200627945030208,3.7594690909066,1.02778083923577
19,12,"maximin",0.75,0.375,0.419573195839137,3.2680632740477,0.731062780054267
19,12,"dopt",0.545454545454545,0.375,0.284267621807481,4.7645223412824,1.63840827961554
19,16,"random",0.3,0.1875,0.0147441956154897,4.90486535358878,2.42638285102966
19,16,"maximin",0.875,0.4375,0.53253521010352,4.71875379039707,0.81381365378497
19,16,"dopt",0.727272727272727,0.5,0.483254957072717,3.32824331937108,0.565630399951041
19,20,"random",0.75,0.375,0.419573195839137,3.2502636093027,1.42762872905718
