"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
4,30,30,"maximin",0.714285714285714,0.3125,0.358568582800318,6.49363858649498,0.300164051378468
4,40,40,"maximin",0.875,0.4375,0.53253521010352,5.17702353294152,0.225891545507824
4,60,60,"maximin",0.818181818181818,0.5625,0.582748624705335,4.22196106627803,0.167606817618954
4,12,12,"dopt",0.6,0.1875,0.217832459454868,7.01525690253077,0.27039423820881
4,16,16,"dopt",1,0.0625,0.21320071635561,5.33283689380119,0.267906704880446
4,20,20,"dopt",1,0.25,0.438529009653515,4.16317853752854,0.243355949228787
4,30,30,"dopt",0.857142857142857,0.375,0.478091443733757,4.27524831085511,0.215876328030997
4,40,40,"dopt",0.909090909090909,0.625,0.682242292337953,3.45810955123872,0.145937200889703
4,60,60,"dopt",0.818181818181818,0.5625,0.582748624705335,3.69911675822377,0.168485317266109
5,12,12,"random",0.2,0.0625,-0.0594088525786005,11.4574493121141,0.344200796536116
5,16,16,"random",0.4,0.125,0.0792118034381339,5.79491295389389,0.2902994010196
5,20,20,"random",0.363636363636364,0.25,0.0852802865422442,7.67206860726512,0.321388539704976
5,30,30,"random",0.6,0.1875,0.217832459454868,3.64575506085794,0.249302030303069
5,40,40,"random",0.714285714285714,0.3125,0.358568582800318,3.53474456132545,0.241345880579334
5,60,60,"random",0.75,0.5625,0.536719835499101,3.55451773252205,0.192023527383742
5,12,11,"maximin",0.777777777777778,0.4375,0.476641124148257,5.32090248405258,0.259394319400998
5,16,15,"maximin",0.833333333333333,0.3125,0.419920627420627,3.66432594545992,0.228647431689414
5,20,18,"maximin",0.818181818181818,0.5625,0.582748624705335,3.7482705010231,0.204877668631638
5,30,28,"maximin",0.75,0.375,0.419573195839137,3.66225240521381,0.228758174317624
5,40,38,"maximin",0.8,0.5,0.53079104215763,3.88427121717869,0.20569420218313
5,60,58,"maximin",0.916666666666667,0.6875,0.729388494396214,3.60833596509068,0.166156210279858
5,12,11,"dopt",0.75,0.1875,0.285043856274785,7.52467679046146,0.287340136002891
5,16,15,"dopt",0.833333333333333,0.3125,0.419920627420627,4.90991418598085,0.288566136932034
5,20,19,"dopt",0.777777777777778,0.4375,0.476641124148257,5.82490256356594,0.280666027710005
5,30,27,"dopt",0.75,0.375,0.419573195839137,5.64901705361446,0.251222210024127
5,40,36,"dopt",1,0.5,0.645497224367903,4.65304366107647,0.196295715676618
5,60,56,"dopt",0.916666666666667,0.6875,0.729388494396214,4.49764447570381,0.145894715318093
6,12,12,"random",0.2,0.0625,-0.0594088525786005,5.55327212562602,0.32285055297125
6,16,16,"random",1,0.25,0.438529009653515,4.98614997346474,0.272761374389361
