"seed","N","n_eff","strategy","Pr","Re","MCC","CoefL2","JacRMSE"
2,60,60,"dopt",0.846153846153846,0.6875,0.682125479619647,3.68304708477301,0.126326257785283
3,12,12,"random",0.333333333333333,0.125,0.0365148371670111,6.62751493801975,0.436718934920021
3,16,16,"random",0.75,0.1875,0.285043856274785,4.707163973612,0.34560417364932
3,20,20,"random",1,0.1875,0.376177396931639,5.30060235880909,0.321566622528408
3,30,30,"random",0.833333333333333,0.3125,0.419920627420627,5.79082331312035,0.248325653373956
3,40,40,"random",0.875,0.4375,0.53253521010352,5.19939277322565,0.229397944505322
3,60,60,"random",0.777777777777778,0.4375,0.476641124148257,4.90864216620355,0.220838562916013
3,12,12,"maximin",0.75,0.1875,0.285043856274785,7.38098538358667,0.354410461205434
3,16,16,"maximin",0.6,0.1875,0.217832459454868,7.5532579580287,0.348412699616713
3,20,20,"maximin",0.75,0.1875,0.285043856274785,6.48565347954739,0.268322930958622
3,30,30,"maximin",1,0.3125,0.495073771488337,4.42299489875158,0.242986862979385
3,40,40,"maximin",0.8,0.5,0.53079104215763,4.89528711920183,0.208178822059912
3,60,60,"maximin",1,0.625,0.737209780774486,4.32096405289157,0.142349366427427
3,12,12,"dopt",1,0.0625,0.21320071635561,6.44285444057466,0.302944476508124
3,16,16,"dopt",1,0.1875,0.376177396931639,6.17862864791642,0.295579597144262
3,20,20,"dopt",0.857142857142857,0.375,0.478091443733757,6.88594447500065,0.309733128255489
3,30,30,"dopt",0.833333333333333,0.3125,0.419920627420627,5.58742154742927,0.245044943962477
3,40,40,"dopt",1,0.5,0.645497224367903,4.55928733594278,0.204579989220883
3,60,60,"dopt",0.857142857142857,0.75,0.730296743340222,4.16707627182239,0.156196754146472
4,12,12,"random",0.666666666666667,0.125,0.200627945030208,5.93154188524932,0.469127781691521
4,16,16,"random",0.25,0.0625,-0.0219264504826757,8.28455637732625,0.405691731704795
4,20,20,"random",1,0.25,0.438529009653515,6.14427481801604,0.349329483501481
4,30,30,"random",1,0.3125,0.495073771488337,4.57688720824923,0.301998637185831
4,40,40,"random",0.888888888888889,0.5,0.58426976508496,3.75688278708851,0.236844233183688
4,60,60,"random",0.9,0.5625,0.634000411466058,4.27471566873118,0.189409587093238
4,12,12,"maximin",0.6,0.1875,0.217832459454868,7.00633319129256,0.298686938519491
4,16,16,"maximin",0.666666666666667,0.125,0.200627945030208,6.80282192667468,0.290296333170697
4,20,20,"maximin",1,0.1875,0.376177396931639,5.74349085669404,0.278558030121602
4,30,30,"maximin",0.75,0.1875,0.285043856274785,5.86428299936021,0.296107838417759
4,40,40,"maximin",0.727272727272727,0.5,0.483254957072717,5.29073399334713,0.231910364024861
4,60,60,"maximin",0.846153846153846,0.6875,0.682125479619647,4.53377428666283,0.162470509945286
4,12,12,"dopt",0.333333333333333,0.1875,0.0461265604014443,8.12209972583166,0.313628787956008
4,16,16,"dopt",1,0.1875,0.376177396931639,5.92596750236423,0.257789077918121
4,20,20,"dopt",1,0.125,0.304290309725092,4.72419412270148,0.260259879567785
4,30,30,"dopt",0.888888888888889,0.5,0.58426976508496,5.66281254313055,0.22877182655668
4,40,40,"dopt",0.888888888888889,0.5,0.58426976508496,4.38799788215386,0.172826411045708
4,60,60,"dopt",0.888888888888889,0.5,0.58426976508496,3.81637153737546,0.129170923462477
5,12,12,"random",0.333333333333333,0.125,0.0365148371670111,9.8415219663974,0.395191233132649
5,16,16,"random",0.4,0.125,0.0792118034381339,7.08356420066557,0.30973983004455
5,20,20,"random",0.428571428571429,0.1875,0.119522860933439,7.21722677152346,0.325972165441939
5,30,30,"random",0.75,0.375,0.419573195839137,3.39926457921881,0.204538968683674
5,40,40,"random",0.777777777777778,0.4375,0.476641124148257,3.87972987445725,0.213992238200862
5,60,60,"random",0.8,0.5,0.53079104215763,3.33931749100053,0.19135052131996
5,12,12,"maximin",0.666666666666667,0.25,0.292118697336089,5.48364000645203,0.282332778042731
5,16,16,"maximin",1,0.5,0.645497224367903,3.75389393668315,0.17877562763171
5,20,20,"maximin",1,0.375,0.547722557505166,3.61397288831905,0.213269253236228
5,30,30,"maximin",0.875,0.4375,0.53253521010352,3.36302541970397,0.206464030036369
5,40,40,"maximin",0.777777777777778,0.4375,0.476641124148257,3.2682089705632,0.208273501818787
5,60,60,"maximin",0.833333333333333,0.625,0.633054164947657,3.52995697594533,0.176495770059996
5,12,12,"dopt",0,0,0,4.89841383308851,0.334979523056304
5,16,16,"dopt",1,0.25,0.438529009653515,4.50016704551277,0.250233612776844
5,20,20,"dopt",0.875,0.4375,0.53253521010352,5.64689793197704,0.269312745744176
5,30,30,"dopt",0.888888888888889,0.5,0.58426976508496,3.91379332688338,0.183728343669711
5,40,40,"dopt",0.909090909090909,0.625,0.682242292337953,4.45887106288776,0.145563613610839
5,60,60,"dopt",0.909090909090909,0.625,0.682242292337953,3.40845161714596,0.131964698115586
6,12,12,"random",0.6,0.1875,0.217832459454868,7.12715513479675,0.434078667767037
6,16,16,"random",0.75,0.375,0.419573195839137,8.53630677421981,0.435616847533504
6,20,20,"random",0.833333333333333,0.3125,0.419920627420627,6.44614720275343,0.289175450148607
6,30,30,"random",1,0.75,0.82572282384477,5.61951679902686,0.223896614219708
6,40,39,"random",0.75,0.5625,0.536719835499101,4.82863282375922,0.226845785409861
6,60,57,"random",0.916666666666667,0.6875,0.729388494396214,3.59828426527275,0.202199879969491
6,12,12,"maximin",0.5625,0.5625,0.3875,9.02320779010873,0.404815621923695
6,16,16,"maximin",0.666666666666667,0.375,0.369012483211554,5.82601028701337,0.273903596634341
6,20,19,"maximin",0.888888888888889,0.5,0.58426976508496,6.60085277509784,0.351709230848379
6,30,26,"maximin",0.833333333333333,0.625,0.633054164947657,4.90568256758815,0.252302461945711
6,40,36,"maximin",0.846153846153846,0.6875,0.682125479619647,4.2479056823206,0.186357615223933
6,60,53,"maximin",0.923076923076923,0.75,0.775750545449794,3.74425840185805,0.169258697903574
6,12,10,"dopt",0.714285714285714,0.3125,0.358568582800318,10.3031190663616,0.415072245230583
6,16,14,"dopt",0.538461538461538,0.4375,0.307625216299056,7.97112100042841,0.355686058741873
6,20,17,"dopt",0.727272727272727,0.5,0.483254957072717,6.30696338900762,0.278458707342552
6,30,26,"dopt",0.769230769230769,0.625,0.588500413789499,5.06160838889827,0.241474989903642
6,40,34,"dopt",0.818181818181818,0.5625,0.582748624705335,4.18962569866528,0.193074603294389
6,60,52,"dopt",1,0.6875,0.781735959970572,3.76888562135361,0.158263331193948
7,12,12,"random",0.444444444444444,0.25,0.153755201338148,11.6555039399014,0.746112641577535
7,16,16,"random",1,0.25,0.438529009653515,7.18047108608633,0.343297677876784
7,20,20,"random",0.714285714285714,0.3125,0.358568582800318,7.03743103112015,0.331012548586601
7,30,30,"random",0.8,0.25,0.356453115471603,5.02827720488894,0.217683518809806
7,40,40,"random",0.714285714285714,0.3125,0.358568582800318,3.92819395694632,0.232138773149701
7,60,60,"random",0.8,0.5,0.53079104215763,4.19424658690298,0.190347327195721
7,12,12,"maximin",0.333333333333333,0.1875,0.0461265604014443,8.39223384867417,0.376549399929535
7,16,16,"maximin",0.666666666666667,0.375,0.369012483211554,5.64068708781062,0.335153786949638
